size,block_size,assoc,predictor,miss_penalty,pipeline_depth,instructions,cycles,CPI,cache_stalls,cache_hitrate,branch_stalls,branch_hitrate
64,8,1,1,25,1,100,1464,14.64,1350,0.0,14,0.481
64,8,1,1,25,5,100,1520,15.2,1350,0.0,70,0.481
64,8,1,1,25,9,100,1576,15.76,1350,0.0,126,0.481
64,8,1,1,25,13,100,1632,16.32,1350,0.0,182,0.481
64,8,1,1,50,1,100,2814,28.14,2700,0.0,14,0.481
64,8,1,1,50,5,100,2870,28.7,2700,0.0,70,0.481
64,8,1,1,50,9,100,2926,29.26,2700,0.0,126,0.481
64,8,1,1,50,13,100,2982,29.82,2700,0.0,182,0.481
64,8,1,1,75,1,100,4164,41.64,4050,0.0,14,0.481
64,8,1,1,75,5,100,4220,42.2,4050,0.0,70,0.481
64,8,1,1,75,9,100,4276,42.76,4050,0.0,126,0.481
64,8,1,1,75,13,100,4332,43.32,4050,0.0,182,0.481
64,8,1,1,100,1,100,5514,55.14,5400,0.0,14,0.481
64,8,1,1,100,5,100,5570,55.7,5400,0.0,70,0.481
64,8,1,1,100,9,100,5626,56.26,5400,0.0,126,0.481
64,8,1,1,100,13,100,5682,56.82,5400,0.0,182,0.481
64,8,1,2,25,1,100,1466,14.66,1350,0.0,16,0.407
64,8,1,2,25,5,100,1530,15.3,1350,0.0,80,0.407
64,8,1,2,25,9,100,1594,15.94,1350,0.0,144,0.407
64,8,1,2,25,13,100,1658,16.58,1350,0.0,208,0.407
64,8,1,2,50,1,100,2816,28.16,2700,0.0,16,0.407
64,8,1,2,50,5,100,2880,28.8,2700,0.0,80,0.407
64,8,1,2,50,9,100,2944,29.44,2700,0.0,144,0.407
64,8,1,2,50,13,100,3008,30.08,2700,0.0,208,0.407
64,8,1,2,75,1,100,4166,41.66,4050,0.0,16,0.407
64,8,1,2,75,5,100,4230,42.3,4050,0.0,80,0.407
64,8,1,2,75,9,100,4294,42.94,4050,0.0,144,0.407
64,8,1,2,75,13,100,4358,43.58,4050,0.0,208,0.407
64,8,1,2,100,1,100,5516,55.16,5400,0.0,16,0.407
64,8,1,2,100,5,100,5580,55.8,5400,0.0,80,0.407
64,8,1,2,100,9,100,5644,56.44,5400,0.0,144,0.407
64,8,1,2,100,13,100,5708,57.08,5400,0.0,208,0.407
64,8,2,1,25,1,100,1464,14.64,2700,0.0,14,0.481
64,8,2,1,25,5,100,1520,15.2,2700,0.0,70,0.481
64,8,2,1,25,9,100,1576,15.76,2700,0.0,126,0.481
64,8,2,1,25,13,100,1632,16.32,2700,0.0,182,0.481
64,8,2,1,50,1,100,2814,28.14,5400,0.0,14,0.481
64,8,2,1,50,5,100,2870,28.7,5400,0.0,70,0.481
64,8,2,1,50,9,100,2926,29.26,5400,0.0,126,0.481
64,8,2,1,50,13,100,2982,29.82,5400,0.0,182,0.481
64,8,2,1,75,1,100,4164,41.64,8100,0.0,14,0.481
