size,block_size,assoc,predictor,miss_penalty,pipeline_depth,instructions,cycles,CPI,cache_stalls,cache_hitrate,branch_stalls,branch_hitrate
64,8,1,1,25,1,10000,109847,10.985,99225,0.341,622,0.757
64,8,1,1,25,5,10000,112335,11.233,99225,0.341,3110,0.757
64,8,1,1,25,9,10000,114823,11.482,99225,0.341,5598,0.757
64,8,1,1,25,13,10000,117311,11.731,99225,0.341,8086,0.757
64,8,1,1,50,1,10000,209072,20.907,198450,0.341,622,0.757
64,8,1,1,50,5,10000,211560,21.156,198450,0.341,3110,0.757
64,8,1,1,50,9,10000,214048,21.405,198450,0.341,5598,0.757
64,8,1,1,50,13,10000,216536,21.654,198450,0.341,8086,0.757
64,8,1,1,75,1,10000,308297,30.83,297675,0.341,622,0.757
64,8,1,1,75,5,10000,310785,31.078,297675,0.341,3110,0.757
64,8,1,1,75,9,10000,313273,31.327,297675,0.341,5598,0.757
64,8,1,1,75,13,10000,315761,31.576,297675,0.341,8086,0.757
64,8,1,1,100,1,10000,407522,40.752,396900,0.341,622,0.757
64,8,1,1,100,5,10000,410010,41.001,396900,0.341,3110,0.757
64,8,1,1,100,9,10000,412498,41.25,396900,0.341,5598,0.757
64,8,1,1,100,13,10000,414986,41.499,396900,0.341,8086,0.757
64,8,1,2,25,1,10000,109568,10.957,99225,0.341,343,0.866
64,8,1,2,25,5,10000,110940,11.094,99225,0.341,1715,0.866
64,8,1,2,25,9,10000,112312,11.231,99225,0.341,3087,0.866
64,8,1,2,25,13,10000,113684,11.368,99225,0.341,4459,0.866
64,8,1,2,50,1,10000,208793,20.879,198450,0.341,343,0.866
64,8,1,2,50,5,10000,210165,21.017,198450,0.341,1715,0.866
64,8,1,2,50,9,10000,211537,21.154,198450,0.341,3087,0.866
64,8,1,2,50,13,10000,212909,21.291,198450,0.341,4459,0.866
64,8,1,2,75,1,10000,308018,30.802,297675,0.341,343,0.866
64,8,1,2,75,5,10000,309390,30.939,297675,0.341,1715,0.866
64,8,1,2,75,9,10000,310762,31.076,297675,0.341,3087,0.866
64,8,1,2,75,13,10000,312134,31.213,297675,0.341,4459,0.866
64,8,1,2,100,1,10000,407243,40.724,396900,0.341,343,0.866
64,8,1,2,100,5,10000,408615,40.861,396900,0.341,1715,0.866
64,8,1,2,100,9,10000,409987,40.999,396900,0.341,3087,0.866
64,8,1,2,100,13,10000,411359,41.136,396900,0.341,4459,0.866
64,8,2,1,25,1,10000,109872,10.987,224350,0.186,622,0.757
64,8,2,1,25,5,10000,112360,11.236,224350,0.186,3110,0.757
64,8,2,1,25,9,10000,114848,11.485,224350,0.186,5598,0.757
64,8,2,1,25,13,10000,117336,11.734,224350,0.186,8086,0.757
64,8,2,1,50,1,10000,209122,20.912,448700,0.186,622,0.757
64,8,2,1,50,5,10000,211610,21.161,448700,0.186,3110,0.757
64,8,2,1,50,9,10000,214098,21.41,448700,0.186,5598,0.757
64,8,2,1,50,13,10000,216586,21.659,448700,0.186,8086,0.757
64,8,2,1,75,1,10000,308372,30.837,673050,0.186,622,0.757
64,8,2,1,75,5,10000,310860,31.086,673050,0.186,3110,0.757
64,8,2,1,75,9,10000,313348,31.335,673050,0.186,5598,0.757
64,8,2,1,75,13,10000,315836,31.584,673050,0.186,8086,0.757
64,8,2,1,100,1,10000,407622,40.762,897400,0.186,622,0.757
64,8,2,1,100,5,10000,410110,41.011,897400,0.186,3110,0.757
64,8,2,1,100,9,10000,412598,41.26,897400,0.186,5598,0.757
64,8,2,1,100,13,10000,415086,41.509,897400,0.186,8086,0.757
64,8,2,2,25,1,10000,109593,10.959,224350,0.186,343,0.866
64,8,2,2,25,5,10000,110965,11.097,224350,0.186,1715,0.866
64,8,2,2,25,9,10000,112337,11.234,224350,0.186,3087,0.866
64,8,2,2,25,13,10000,113709,11.371,224350,0.186,4459,0.866
64,8,2,2,50,1,10000,208843,20.884,448700,0.186,343,0.866
64,8,2,2,50,5,10000,210215,21.021,448700,0.186,1715,0.866
64,8,2,2,50,9,10000,211587,21.159,448700,0.186,3087,0.866
64,8,2,2,50,13,10000,212959,21.296,448700,0.186,4459,0.866
64,8,2,2,75,1,10000,308093,30.809,673050,0.186,343,0.866
64,8,2,2,75,5,10000,309465,30.947,673050,0.186,1715,0.866
64,8,2,2,75,9,10000,310837,31.084,673050,0.186,3087,0.866
64,8,2,2,75,13,10000,312209,31.221,673050,0.186,4459,0.866
64,8,2,2,100,1,10000,407343,40.734,897400,0.186,343,0.866
