size,block_size,assoc,predictor,miss_penalty,pipeline_depth,instructions,cycles,CPI,cache_stalls,cache_hitrate,branch_stalls,branch_hitrate
64,8,1,1,25,1,10000,259700,25.97,249700,0.001,0,
64,8,1,1,25,5,10000,259700,25.97,249700,0.001,0,
64,8,1,1,25,9,10000,259700,25.97,249700,0.001,0,
64,8,1,1,25,13,10000,259700,25.97,249700,0.001,0,
64,8,1,1,50,1,10000,509400,50.94,499400,0.001,0,
64,8,1,1,50,5,10000,509400,50.94,499400,0.001,0,
64,8,1,1,50,9,10000,509400,50.94,499400,0.001,0,
64,8,1,1,50,13,10000,509400,50.94,499400,0.001,0,
64,8,1,1,75,1,10000,759100,75.91,749100,0.001,0,
64,8,1,1,75,5,10000,759100,75.91,749100,0.001,0,
64,8,1,1,75,9,10000,759100,75.91,749100,0.001,0,
64,8,1,1,75,13,10000,759100,75.91,749100,0.001,0,
64,8,1,1,100,1,10000,1008800,100.88,998800,0.001,0,
64,8,1,1,100,5,10000,1008800,100.88,998800,0.001,0,
64,8,1,1,100,9,10000,1008800,100.88,998800,0.001,0,
64,8,1,1,100,13,10000,1008800,100.88,998800,0.001,0,
64,8,1,2,25,1,10000,259700,25.97,249700,0.001,0,
64,8,1,2,25,5,10000,259700,25.97,249700,0.001,0,
64,8,1,2,25,9,10000,259700,25.97,249700,0.001,0,
64,8,1,2,25,13,10000,259700,25.97,249700,0.001,0,
64,8,1,2,50,1,10000,509400,50.94,499400,0.001,0,
64,8,1,2,50,5,10000,509400,50.94,499400,0.001,0,
64,8,1,2,50,9,10000,509400,50.94,499400,0.001,0,
64,8,1,2,50,13,10000,509400,50.94,499400,0.001,0,
64,8,1,2,75,1,10000,759100,75.91,749100,0.001,0,
64,8,1,2,75,5,10000,759100,75.91,749100,0.001,0,
64,8,1,2,75,9,10000,759100,75.91,749100,0.001,0,
64,8,1,2,75,13,10000,759100,75.91,749100,0.001,0,
64,8,1,2,100,1,10000,1008800,100.88,998800,0.001,0,
64,8,1,2,100,5,10000,1008800,100.88,998800,0.001,0,
64,8,1,2,100,9,10000,1008800,100.88,998800,0.001,0,
64,8,1,2,100,13,10000,1008800,100.88,998800,0.001,0,
64,8,2,1,25,1,10000,259725,25.973,499575,0.001,0,
64,8,2,1,25,5,10000,259725,25.973,499575,0.001,0,
64,8,2,1,25,9,10000,259725,25.973,499575,0.001,0,
64,8,2,1,25,13,10000,259725,25.973,499575,0.001,0,
64,8,2,1,50,1,10000,509450,50.945,999150,0.001,0,
64,8,2,1,50,5,10000,509450,50.945,999150,0.001,0,
64,8,2,1,50,9,10000,509450,50.945,999150,0.001,0,
64,8,2,1,50,13,10000,509450,50.945,999150,0.001,0,
64,8,2,1,75,1,10000,759175,75.918,1498725,0.001,0,
64,8,2,1,75,5,10000,759175,75.918,1498725,0.001,0,
64,8,2,1,75,9,10000,759175,75.918,1498725,0.001,0,
64,8,2,1,75,13,10000,759175,75.918,1498725,0.001,0,
64,8,2,1,100,1,10000,1008900,100.89,1998300,0.001,0,
64,8,2,1,100,5,10000,1008900,100.89,1998300,0.001,0,
64,8,2,1,100,9,10000,1008900,100.89,1998300,0.001,0,
64,8,2,1,100,13,10000,1008900,100.89,1998300,0.001,0,
64,8,2,2,25,1,10000,259725,25.973,499575,0.001,0,
64,8,2,2,25,5,10000,259725,25.973,499575,0.001,0,
64,8,2,2,25,9,10000,259725,25.973,499575,0.001,0,
64,8,2,2,25,13,10000,259725,25.973,499575,0.001,0,
64,8,2,2,50,1,10000,509450,50.945,999150,0.001,0,
64,8,2,2,50,5,10000,509450,50.945,999150,0.001,0,
64,8,2,2,50,9,10000,509450,50.945,999150,0.001,0,
64,8,2,2,50,13,10000,509450,50.945,999150,0.001,0,
64,8,2,2,75,1,10000,759175,75.918,1498725,0.001,0,
64,8,2,2,75,5,10000,759175,75.918,1498725,0.001,0,
64,8,2,2,75,9,10000,759175,75.918,1498725,0.001,0,
64,8,2,2,75,13,10000,759175,75.918,1498725,0.001,0,
64,8,2,2,100,1,10000,1008900,100.89,1998300,0.001,0,
64,8,2,2,100,5,10000,1008900,100.89,1998300,0.001,0,
64,8,2,2,100,9,10000,1008900,100.89,1998300,0.001,0,
64,8,2,2,100,13,10000,1008900,100.89,1998300,0.001,0,
64,8,4,1,25,1,10000,259775,25.977,999500,0.0,0,
64,8,4,1,25,5,10000,259775,25.977,999500,0.0,0,
64,8,4,1,25,9,10000,259775,25.977,999500,0.0,0,
64,8,4,1,25,13,10000,259775,25.977,999500,0.0,0,
64,8,4,1,50,1,10000,509550,50.955,1999000,0.0,0,
64,8,4,1,50,5,10000,509550,50.955,1999000,0.0,0,
64,8,4,1,50,9,10000,509550,50.955,1999000,0.0,0,
64,8,4,1,50,13,10000,509550,50.955,1999000,0.0,0,
64,8,4,1,75,1,10000,759325,75.933,2998500,0.0,0,
64,8,4,1,75,5,10000,759325,75.933,2998500,0.0,0,
64,8,4,1,75,9,10000,759325,75.933,2998500,0.0,0,
64,8,4,1,75,13,10000,759325,75.933,2998500,0.0,0,
64,8,4,1,100,1,10000,1009100,100.91,3998000,0.0,0,
64,8,4,1,100,5,10000,1009100,100.91,3998000,0.0,0,
