size,block_size,assoc,predictor,miss_penalty,pipeline_depth,instructions,cycles,CPI,cache_stalls,cache_hitrate,branch_stalls,branch_hitrate
64,8,1,1,25,1,10000,135125,13.512,125125,0.499,0,
64,8,1,1,25,5,10000,135125,13.512,125125,0.499,0,
64,8,1,1,25,9,10000,135125,13.512,125125,0.499,0,
64,8,1,1,25,13,10000,135125,13.512,125125,0.499,0,
64,8,1,1,50,1,10000,260250,26.025,250250,0.499,0,
64,8,1,1,50,5,10000,260250,26.025,250250,0.499,0,
64,8,1,1,50,9,10000,260250,26.025,250250,0.499,0,
64,8,1,1,50,13,10000,260250,26.025,250250,0.499,0,
64,8,1,1,75,1,10000,385375,38.538,375375,0.499,0,
64,8,1,1,75,5,10000,385375,38.538,375375,0.499,0,
64,8,1,1,75,9,10000,385375,38.538,375375,0.499,0,
64,8,1,1,75,13,10000,385375,38.538,375375,0.499,0,
64,8,1,1,100,1,10000,510500,51.05,500500,0.499,0,
64,8,1,1,100,5,10000,510500,51.05,500500,0.499,0,
64,8,1,1,100,9,10000,510500,51.05,500500,0.499,0,
64,8,1,1,100,13,10000,510500,51.05,500500,0.499,0,
64,8,1,2,25,1,10000,135125,13.512,125125,0.499,0,
64,8,1,2,25,5,10000,135125,13.512,125125,0.499,0,
64,8,1,2,25,9,10000,135125,13.512,125125,0.499,0,
64,8,1,2,25,13,10000,135125,13.512,125125,0.499,0,
64,8,1,2,50,1,10000,260250,26.025,250250,0.499,0,
64,8,1,2,50,5,10000,260250,26.025,250250,0.499,0,
64,8,1,2,50,9,10000,260250,26.025,250250,0.499,0,
64,8,1,2,50,13,10000,260250,26.025,250250,0.499,0,
64,8,1,2,75,1,10000,385375,38.538,375375,0.499,0,
64,8,1,2,75,5,10000,385375,38.538,375375,0.499,0,
64,8,1,2,75,9,10000,385375,38.538,375375,0.499,0,
64,8,1,2,75,13,10000,385375,38.538,375375,0.499,0,
64,8,1,2,100,1,10000,510500,51.05,500500,0.499,0,
64,8,1,2,100,5,10000,510500,51.05,500500,0.499,0,
64,8,1,2,100,9,10000,510500,51.05,500500,0.499,0,
64,8,1,2,100,13,10000,510500,51.05,500500,0.499,0,
64,8,2,1,25,1,10000,135125,13.512,312675,0.285,0,
64,8,2,1,25,5,10000,135125,13.512,312675,0.285,0,
64,8,2,1,25,9,10000,135125,13.512,312675,0.285,0,
64,8,2,1,25,13,10000,135125,13.512,312675,0.285,0,
64,8,2,1,50,1,10000,260250,26.025,625350,0.285,0,
64,8,2,1,50,5,10000,260250,26.025,625350,0.285,0,
64,8,2,1,50,9,10000,260250,26.025,625350,0.285,0,
64,8,2,1,50,13,10000,260250,26.025,625350,0.285,0,
64,8,2,1,75,1,10000,385375,38.538,938025,0.285,0,
64,8,2,1,75,5,10000,385375,38.538,938025,0.285,0,
64,8,2,1,75,9,10000,385375,38.538,938025,0.285,0,
64,8,2,1,75,13,10000,385375,38.538,938025,0.285,0,
64,8,2,1,100,1,10000,510500,51.05,1250700,0.285,0,
64,8,2,1,100,5,10000,510500,51.05,1250700,0.285,0,
64,8,2,1,100,9,10000,510500,51.05,1250700,0.285,0,
64,8,2,1,100,13,10000,510500,51.05,1250700,0.285,0,
64,8,2,2,25,1,10000,135125,13.512,312675,0.285,0,
64,8,2,2,25,5,10000,135125,13.512,312675,0.285,0,
64,8,2,2,25,9,10000,135125,13.512,312675,0.285,0,
64,8,2,2,25,13,10000,135125,13.512,312675,0.285,0,
64,8,2,2,50,1,10000,260250,26.025,625350,0.285,0,
64,8,2,2,50,5,10000,260250,26.025,625350,0.285,0,
64,8,2,2,50,9,10000,260250,26.025,625350,0.285,0,
64,8,2,2,50,13,10000,260250,26.025,625350,0.285,0,
64,8,2,2,75,1,10000,385375,38.538,938025,0.285,0,
64,8,2,2,75,5,10000,385375,38.538,938025,0.285,0,
64,8,2,2,75,9,10000,385375,38.538,938025,0.285,0,
64,8,2,2,75,13,10000,385375,38.538,938025,0.285,0,
64,8,2,2,100,1,10000,510500,51.05,1250700,0.285,0,
64,8,2,2,100,5,10000,510500,51.05,1250700,0.285,0,
64,8,2,2,100,9,10000,510500,51.05,1250700,0.285,0,
